StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q31,Q17,Random ID,explanation0,explanation1,explanation2,explanation3,explanation4,explanation5,explanation6,explanation7,explanation8,explanation9,explanation10,explanation11,explanation12,explanation13,explanation14,explanation15,explanation16
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Task 1






Please provide a natural language instruction describing Task 1.","Task 2






Please provide a natural language instruction describing Task 2.","Task 3






Please provide a natural language instruction describing Task 3.","Task 4






Please provide a natural language instruction describing Task 4.","Task 5






How many doors does the robot pass through to reach the blue box?","Task 6






Please provide a natural language instruction describing Task 6.","Task 7






Please provide a natural language instruction describing Task 7.","Task 8






Please provide a natural language instruction describing Task 8.","Task 9






Please provide a natural language instruction describing Task 9.","Task 10






How many red balls are there on the board?","Task 11






Please provide a natural language instruction describing Task 11.","Task 12






Please provide a natural language instruction describing Task 12.","Task 13






Please provide a natural language instruction describing Task 13.","Task 14






Please provide a natural language instruction describing Task 14.","Task 15






How many blue keys are there on the board?","Task 16






Please provide a natural language instruction describing Task 16.","Task 17






Please provide a natural language instruction describing Task 17.","Task 18






Please provide a natural language instruction describing Task 18.","Task 19






Please provide a natural language instruction describing Task 19.","Task 20






Please provide a natural language instruction describing Task 20.","That's it! Thanks so much for your participation. Just one more question:
On a scale of 1 (very easy) to 5 (very difficult), how would you rate the survey in terms of difficulty?","Comments



Finally, please let us know if you have any comments!",Random ID,explanation0,explanation1,explanation2,explanation3,explanation4,explanation5,explanation6,explanation7,explanation8,explanation9,explanation10,explanation11,explanation12,explanation13,explanation14,explanation15,explanation16
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""explanation0""}","{""ImportId"":""explanation1""}","{""ImportId"":""explanation2""}","{""ImportId"":""explanation3""}","{""ImportId"":""explanation4""}","{""ImportId"":""explanation5""}","{""ImportId"":""explanation6""}","{""ImportId"":""explanation7""}","{""ImportId"":""explanation8""}","{""ImportId"":""explanation9""}","{""ImportId"":""explanation10""}","{""ImportId"":""explanation11""}","{""ImportId"":""explanation12""}","{""ImportId"":""explanation13""}","{""ImportId"":""explanation14""}","{""ImportId"":""explanation15""}","{""ImportId"":""explanation16""}"
2021-05-04 19:56:14,2021-05-04 20:20:21,IP Address,168.91.79.127,100,1446,TRUE,2021-05-04 20:20:21,R_6VEluPazfuzqEZH,,,,,33.4532012939453000,-112.074798583984000,anonymous,EN,let's go and turn right then left again go to 2 steps,Go to Red ball,go to the red box,go to a purple key,2,go to a green box,Go to upto three tiles,Go to the red box,go to the grey key,3,go to the purple box,go to the grey ball,go to the yellow ball,go to the red door,2,go to the blue door,go to green key,go to the blue door,go to the yellow door,go to the grey ball,2,No negative comments,42214,go to the green ball,go to the red ball,go to a red box,go to the purple key,go to the green box,go to the red box,go to a red ball,go to the grey key,go to the purple box,go to the grey door,go to the yellow ball,go to a red door,go to a blue ball,go to the green door,go to a blue door,go to the yellow door,go to the grey ball
2021-05-04 20:04:08,2021-05-04 20:25:40,IP Address,73.66.114.81,100,1292,TRUE,2021-05-04 20:25:41,R_78RdGpERqKtdPsR,,,,,37.6222991943359000,-121.04019927978500000,anonymous,EN,Pick up the green ball,Move the red ball to the yellow area.,Go to the red box,go to the purple key,1,Put the green box next to the green ball,Go to a gray ball,go to a red ball,go to a gray key,3,pick up a green key,pick up a yellow box,go to a yellow ball,go to a purple ball,2,go to a purple ball,go to a yellow key,pick up a red box,pick up a green box,go a gray ball,2,,28763,go to the green ball,"go to the red ball, then put a red ball next to a yellow box",go to a red box,go to the purple key,put the green box next to a green ball,go to the grey ball,go to a red ball,go to the grey key,pick up a green key,pick up a yellow box,go to the yellow ball,go to a purple ball,go to a purple ball,go to the purple key and go to a yellow box,,,
2021-05-04 19:59:17,2021-05-04 20:29:24,IP Address,73.11.242.191,100,1806,TRUE,2021-05-04 20:29:24,R_25SZkkzfG8NFjcX,,,,,47.0240020751953000,-122.7826995849610000,anonymous,EN,turn left to face the green ball,pick up the red ball and place it in front of the yellow box,go to the red box,go to the purple key,1,pick up the green box and place it by the green ball,go to the gray ball,go to the red ball,go to the top grey key,3,pick up the green key carry it to the blue ball,go to the purple key,pick up the yellow ball and place it one up and one over ,go through the bottom doorway,2,go to a purple ball,go to a grey box,pick up a red box,pick up a green box,go to a grey ball,2,"The last 3 didn't have suggestions, not sure why? If the questions were ACs I wasn't sure how many doors the first one went through, because the door disappeared, so it actually only went through 1 door. Hopefully that is right?",76210,go to the green ball,"pick up a red ball, then put the red ball next to a yellow box",go to a red box,go to the purple key,"go to the green box, then pick up the green box and put the green box next to a green ball",go to the grey ball,go to a red ball,go to the grey key,pick up the green key and go to a blue ball,go to a purple key,go to a yellow ball and pick up the yellow ball,go to a red door,go to a purple ball,,,,
2021-05-04 20:13:51,2021-05-04 20:44:27,IP Address,71.227.107.82,100,1836,TRUE,2021-05-04 20:44:27,R_a47rEN4BR9Qaoz7,,,,,42.8704071044922000,-85.6681976318359000,anonymous,EN,Go to the box underneath the green ball and point toward it.,Take red ball to  yellow box,Go to red box,Go to the purple key,1,Put green box above green ball,Go to the top gray ball.,Go to the red ball.,Go to the gray key,3,Go to green key and bring to gray box,Bring the yellow box to the gray ball,Go to the yellow ball and move it one right and one up.,Move to above the red door,2,Go to purple ball,Go to the green key,Pick up red box and move to the room to the left by the door at the top,Pick up green box,Go to the gray ball,2,Unique study!,19543,go to the green ball,go to a red ball and put a red ball next to a yellow box,go to a red box,go to the purple key,go to the green ball and put a green box next to a green ball,go to the grey ball,,,,,,,,,,,
2021-05-04 19:57:06,2021-05-04 20:51:59,IP Address,201.92.156.74,100,3293,TRUE,2021-05-04 20:51:59,R_27Jf7LaNgE1yrUu,,,,,-23.0955047607422000,-45.9308013916016000,anonymous,EN,Walk to the green ball.,Go to the red ball and take it to the yellow exit.,Go to the green box.,Go to a purple key.,1,Take the green box farthest away and place it next to the green ball.,Go to a gray ball.,Go to a red ball.,Go to a gray ball and a gray key.,3,Go to the green key.,Take the yellow box and take the gray ball.,Take the yellow ball and open the marela.,Go to the red door.,2,Go to the purple ball.,Go to the green key.,Take the red box.,Take the green box.,Go to the gray ball.,4,no comments,39529,go to the green ball,put the red ball next to the yellow box after you go to a red ball,go to a green box,go to the purple key,pick up a green box and put the green box next to the green ball,go to the grey ball,go to a red ball,,,,,,,,,,
2021-05-04 20:02:55,2021-05-04 21:02:38,IP Address,97.93.61.218,100,3583,TRUE,2021-05-04 21:02:39,R_2BljySaGYN0SYq5,,,,,33.7834930419922000,-118.13159942627000000,anonymous,EN,Move  right into the green circle.,Pick up the red ball and drop it off near the door.,Go to the room with the red and green doors.,Pick up the purple key,1,Pick up the green box and put it on top of the green ball.,Go next to the gray ball and red box.,Go to the red ball.,Go to the key in the top room.,3,Go and pick up the green key,Go and pick up the yellow box and walk to the top left room.,"Go and pick up the purple ball and drop it off in the middle room, and then pick up the yellow ball and put it back down.",Pick up the yellow box and set it back down.,2,Open the red door and pick up the blue ball and put it in the top middle room ,Pick up the gray box in the top left room.,Pick up the gray ball and put it in the bottom middle room and pick the blue key up and set it back down,Pick up the green box.,Pick up the red box in the bottom right room and set it back down.,5,,90815,,,,,,,,,,,,,,,,,
2021-05-04 20:41:11,2021-05-04 21:30:17,IP Address,42.106.184.194,100,2946,TRUE,2021-05-04 21:30:18,R_1QAVwVziepDxC1B,,,,,10.80999755859380,78.693206787109400,anonymous,EN,Robot moves towards green ball.,Robot moves towards door.,Robot moves to red door.,Robot moves towards key.,1,Robot drop green box.,Robot move towards grey ball.,Robot move towards red ball.,Robot move towards green key.,3,Robot move towards blue ball.,Robot pick yellow box.,Robot pick yellow ball.,Robot open red door.,2,Robot move towards blue ball.,Robot move towards green key.,Robot pick red box.,Robot pick green box.,Robot move towards grey ball.,3,Happy to participate on this Natural Language Instructions for a Virtual Robot.,68312,,,,,,,,,,,,,,,,,
2021-05-04 21:07:09,2021-05-04 21:45:17,IP Address,49.37.217.44,100,2288,TRUE,2021-05-04 21:45:18,R_2VQpyJlmFLikwML,,,,,13.0579071044922000,80.192108154296900,anonymous,EN,THE RED ARROW REACHED THE GREEN BALL,GO TO THE RIGHT ARROW AND GREEN THE WINDOW,GO TO THE RED ARROW THREE DOORS AND REACHED TO THE RED WINDOW,THE RED ARROW REACHED TO LAWENDER KEY,1,THE RED ARROW GO TO STRAIGHT AND REACHED TO RED BOX,THE RED ARROW REACHED TO GRAY BALL,RED ARROW GO THE THREE DOOR AND REACHED THE RED BALL,THE RED ARROW GO TO THREE DOORS AND REACHED TO GREY BALL,3,RED ARROW REACHED TO THREE DOORS AND  REACHED OUT OF GREEN KEY,RED ARROW REACHED TO GRAY BALL,RED ARROW REACHED TO THREE DOOR AND YELLOW BALL,RED NOT REACHED EVERY ONE,2,RED ARROW REACHED THE BLUE BALL,THE RED ARROW REACHED TO GREY BOX,RED ARROW NOT REACHED TO EVERY ONE,RED ARROW REACHD TO GREEN BOX,RED ARROW REACHED TO GREY BALL,2,GOOD,47558,,,,,,,,,,,,,,,,,
