Task 1 i,Task 1 m,Task 2 i,Task 2 m,Task 3 i,Task 3 m,Task 4 i,Task 4 m,Task 6 i,Task 6 m,Task 7 i,Task 7 m,Task 8 i,Task 8 m,Task 9 i,Task 9 m,Task 11 i,Task 11 m,Task 12 i,Task 12 m,Task 13 i,Task 13 m,Task 14 i,Task 14 m,Task 16 i,Task 16 m,Task 17 i,Task 17 m,Task 18 i,Task 18 m,Task 19 i,Task 19 m,Task 20 i,Task 20 m
go to the green ball,go to the green ball,put the red ball next to the yellow door,go to a yellow door and go to the red ball,go to a red box,go to a red box,go to the purple key,go to the purple key,put the green box next to the green ball,put the green box next to a green ball,go to a gray ball,go to a grey ball,go to the red ball,go to the red ball,go to a gray ball and a gray key,go to a grey door and go to a green ball and go to a blue key,pick up the blue key put it down pick up the green key go between a blue box and a blue ball,"pick up a green key after you pick up the blue key, then go to the purple box and go to a blue ball",pick up and put down a yellow key pick up the yellow box go next to the purple key near the grey ball,"pick up the yellow box and go to a purple key, then put the yellow box next to a grey ball",go to the yellow door,go to the yellow door,pick up and put down the yellow box go to a red door,"pick up the yellow box, then go to a red door",go next to a purple ball,go to a purple ball,pick up a gray box go next to a gray box while facing a green key,"go to the green box, then put a green key next to a grey box",move the blue key next to the yellow box pick up the red box go near a blue door,go to the blue door and put the blue key next to a yellow box and pick up the red box,go next to a yellow door go next to the yellow box pick up a green box go near a green door,"go to the yellow door and go to a yellow box, then put the green box next to a green door",pick up and put down a red box got to the gray ball,"pick up a red box after you go to a red box, then go to a grey ball"
go to the green ball,go to the green ball,pick up the red ball and drop it next to the yellow box,"pick up a red ball, then put the red ball next to a yellow box",go through a blue door then a purple door to a red box,"go to a blue door, then go to a purple door and go to a red box",go to the purple key,go to the purple key,go pick up the green box and put it next to the green ball,pick up a green box and put the green box next to the green ball,go to the grey ball,go to the grey ball,go through yellow door then a grey door and then a green door and back through the green door to a yellow door then through a purple door ,"go to a yellow door, then go to the green door, then open a purple door",go through grey door and tehn back up through a brown door and stop next to a grey key ,"go to a grey door, then open a grey door and go to the grey key",go get blue key but put it back down then go through the green door and turn back around through the green door and go through the grey door and then through the yellow door and then come back through the yellow door and grey door to go through the green door and go through the next green door and then a third green door to pick up a green key and go through a blue door ,"go to a blue key and go to the green door after you go to the yellow key and go to the grey door, then open a green door",pick up and droop green key then go through a red door then turn around and go back through and go through the grey door then go through a blue door and then go through the next grey door and pick up a yellow box and go back through the last two doors ,"go to a red key, then open a green door, then go to a green box and go to the blue door",go through the purple door and then go through the same door again and go through a grey door pick up purple ball and go through open door turn around and come back through and go through a green door and then another green door and move the yellow ball,"open a green door, then go to the purple ball and go to a purple door, then open a yellow door",go through the red door ,go to the red door,go through the red door and pick up a blue ball then go through the green door ,"go to a red door and pick up the blue ball, then go to the green door",go through the purple door and pick up a grey box then go through a grey door and then go through a blue door and then go through a green door and then find the next green door to go through and turn around and go back through the first green door and the blue door but turn and go through another green door ,"open the purple door, then pick up a grey box, then go to a green door",go through a grey door and then go through a purple door and then a blue door and another grey door to move the grey ball and then go back through that last door and go open another grey door and pick up the red block and move it go move the blue key next to the yellow block then ,"go to the blue door, then open a grey door after you go to the purple key and go to a grey door",go through the blue door then go get the green box ,"go to the blue door, then pick up the green box",go through the red door and go through the second red door and pick up and drop the red box then go back through the second red door then through a blue door and then a second blue door but turn around and come back through the two red doors and go through the purple door an stop by the grey ball,"go to a purple box, then go to a red ball after you go to the yellow key and go to a grey door"
go to the green ball,go to the green ball,put the red ball next to the yellow door,go to a yellow door and go to the red ball,go to a red square,go to a red ball,go to the purple key,go to the purple key,put the green box by the green ball,go to the green ball and go to the green box,go to the gray ball,go to a grey ball,go to the red ball,go to the red ball,go the gray ball then go to the gray key,"go to a green ball and go to a blue key, then go to a grey ball",pick up and put down the blue key then go through a green door then go through a yellow door then pick up the green key and go to the blue ball ,"pick up the green key and go to the green box and go to the blue door, then go to a blue ball",pick up and put down the green key then go the the green box near the red key then pick up the yellow box and take it to the gray key,"pick up the green key and go to a green key, then pick up the yellow box",put the purple ball in the room with the blue key and open all the doors on the right side of the map then move the yellow ball from in front of the yellow door,"pick up the blue key and go to a yellow door, then go to a purple ball",pick up and put down the yellow box then go to the red door,"pick up the yellow box, then go to a red door",open the red door and move the blue ball into the room you started in then go to the purple ball,"open the red door, then pick up a blue ball and go to a purple ball",open the purple door and pick up the gray box then go through the bloor door  and touch the red and purple ball then go through the two green doors look in the room with the blue ball then go to the room with two gray boxes,"open the green door, then go to a purple ball and go to a purple door, then go to a purple box and go to the blue ball",go through the gray door  then go through the purple door then the blue door  and move the gray ball out of the way then the purple door and move the blue key next to the yellow box then open the gray door and pick up the red box ,"open a purple door, then put the blue key next to the yellow box, then go to a grey ball",go through the blue door then check the yellow door and yellow box then pick up the green box and go to the green door,"go to the blue door and go to the yellow box, then pick up the green box",go through the red door and then go through another red door pick up the red box and put it down then go through the blue door then go through the other blue door and then back out and then go through the purple door and go to the gray ball,"go to the purple box, then go to the yellow key and go to a grey door, then go to a red ball and go to a grey ball"
go to the green ball,go to the green ball,pick up the red ball and put it by the yellow box,go to the red box and pick up a yellow ball,go through the gray door then go to the red box,"open a grey door, then go to the red box, then pick up a red box",go to the purple key,go to the purple key,pick up the green box and place it by the green circle,pick up a green box and put the green box next to the green ball,go to the gray circle,"go to the grey key, then go to the grey key",go to the red circle,go to the red ball,go to the gray key,go to a grey key,pick up the blue key and put it back down then find and pick up the green key and go in between the blue ball and purple box,"pick up a blue key, then go to a purple box and go to the blue ball after you go to a green key",pick up the green key and put it back down then pick up the yellow box and go through the blue door and go to the purple key,"pick up a green key and go to a yellow box, then go to the purple key",pick up the purple ball then go to the yellow door,"pick up the purple ball, then go to a yellow door",go to the red door after picking up the yellow box,go to the red door after you pick up the yellow box,go through the red door and then go to the purple ball,"go to a red door, then go to the purple ball",go through the purple door then pick up the gray box and go to the green key,pick up the grey box and go to the purple key and go to a green door,pick up the blue key and put it in front of the yellow box then pick up the red box and go to the blue door,"go to a blue door, then put a blue key next to a yellow box and pick up the red box",pick up the green box then go to the green door,open the green door and go to the green box,pick up the red box and put it back down then go to the gray ball,pick up a red box after you go to the yellow box and go to a grey ball
go to the green dot,go to the green box,move the red dot to the yellow door,go to a yellow door and go to the red ball,go open the red door,open the red door,get the purple key,go to the purple key,open the green box ,open the green door,go to the grey dot,go to a grey ball and go to a grey ball,open the yellow box open the green box and open the yellow box,open the green door and open the green door and go to a yellow box,open the green boxes,"open the green door, then open the green door and go to the green box",open up all of the boxes that are green and yellow only ,"pick up a green box, then go to the yellow box",open the red box then open the yellow box and the blue box up top next get the yellow box ,"open a red door, then open the blue door, then pick up the yellow box",open the green box open the blue box and then open 2 more green boxes,"open the green door, then open the green door, then go to the green box and go to the blue door",open the red box,open the red door and go to a red box,get the blue dot open then open the green box,"open the green door and go to the green box, then open the blue door",open the blue door then get the yellow box then open the door and get the blue box and open the green doors then go towards the green key,"go to the yellow key, then go to a green box and go to the blue door, then open a blue door",open the blue doors get the grey dot and the blue key then get the red box,"open the grey door and go to a blue key, then go to a red box",go to the green box,go to the green box,open the red doors then the blue doors  then go to the grey dot,"open the red door, then go to the grey door and go to the blue door"
go to the green ball,go to the green ball,pick up the red ball and put it next to the yellow box,pick up the red ball and put a red ball next to the yellow box,find a red box,go to a red box,go to the purple key,go to the purple key,pick up the green box and place it next to the green ball,pick up a green box and put the green box next to the green ball,go to the grey ball,go to the grey ball,go through 2 yellow doors and find the red ball,go to the yellow door and go to a yellow ball and go to the red ball,find a grey key,go to a grey key,find the green key pick it up and then go near a blue ball,"pick up a green key, then go to the blue ball",find the yellow box and pick it up,go to the yellow box and pick up the yellow box,find the purple ball pick it up put it down find a yellow ball pick it up and put it down,"go to a purple ball, then pick up a purple ball and pick up the yellow ball",pick up a yellow box and put it down move next to a purple ball,pick up a yellow box after you go to a purple ball,go through the red door pick up the blue ball put it down and find the blue ball,"go to the red door and go to the blue ball, then pick up the blue ball",pick up a grey box and find a green key,pick up the grey box and put the grey box next to a green key,go through the doors move the grey ball pick up the blue key and put it next to the yellow box,"open a blue door and go to the grey key, then put the yellow box next to the grey ball",pick up a green box,pick up a green box,pick up a red box put it down and find the grey ball,"pick up a red box, then go to a grey ball"
go to a blue ball then go to a green ball,"go to a green ball, then go to a blue ball",pick up the red ball then put the red ball down next to the yellow box,"pick up a red ball, then put the red ball next to a yellow box",open the grey door then go to the red box,"open the grey door, then go to the red box",go to the purple key,go to the purple key,pick up the green box then put down the green box next to the green ball,pick up the green box and put the green box next to a green ball after you go to a green ball,go to a grey ball,go to a grey ball,go to the red ball,go to the red ball,go to a grey key,go to a grey key,pick up the blue key then put it down then open all the yellow and green doors then pick up the green key open the blue door and go to the space between the purple box and blue ball,"go to the green box and go to the blue door after you pick up a blue key, then go to a purple box and go to a blue ball",pick up the yellow box and go to the purple key,pick up the yellow box and go to a purple key,go to the yellow door,go to the yellow door,pick up the yellow box then put it down and go to the red door,"pick up the yellow box, then go to a red door",open the red door and then go to the purple ball,"open the red door, then go to the purple ball",pick up a grey box and go to the green key,pick up a green key and go to a green box and go to the grey key,pick up the blue key and put it down next to the yellow box then pick up the red box and go to a blue door,"go to a blue door, then put a blue key next to a yellow box and pick up the red box",open the blue door then pick up the green box and go to the green door,"open a blue door and go to the green box, then pick up the green box",pick up a red box and put down the red box then go to a grey ball,"go to the red box and pick up the red box, then go to a grey ball"
go to the green ball,go to the green ball,put the red ball next to the yellow box,put a red ball next to the yellow box,open the blue door and go to the red box,open a blue door and go to the red box,go to the purple key,go to the purple key,put the green box next to the green ball,put the green box next to a green ball,go to the grey ball,go to the grey ball,open the purple door and go to the red ball,open a purple door and go to the red ball,open the grey door go to the grey key after go to the grey ball,open a grey door and go to the grey key after you go to the grey ball,pick up the blue key then pinck up the green key and open the blue door,pick up a blue key and go to a green key and open the blue door,pick up the green key then pick up the yellow box,pick up the green key and pick up a yellow box,pick up th purple ball then move the yelow ball ,pick up the purple ball after you go to a purple ball,pick up the yellow box then go to the purple ball,"pick up a yellow box, then go to the purple ball", open the red door put the blue ball next to the green ball then go to the purple ball,"open the red door and go to the blue ball, then go to a purple ball",pick up the grey box then open the blue door go to the red ball then go to the grey box after you open the green door ,go to the red box and go to a green box after you go to a grey ball and open the blue door,put the grey ball next to the yellow key then put the blue key next the yellow box and pick up the red box,"pick up the grey ball, then put the blue key next to the yellow box and pick up the red box",open the blue door and pick up the green box,open the blue door and pick up a green box,open the red door pick up the red box then go to the grey ball after you open the blue doors,"pick up a grey box, then go to the red ball after you open the blue door"
go to green ball,go to the green ball,get red ball and move it on top of yellow box,go to a red ball and go to the yellow box,go to red box,go to the red box,go to purple key,go to the purple key,get red box and move it between a step bellow yellow box and yellow ball,"go to a red box and go to the yellow ball, then go to a yellow door",go to gray ball,go to a grey ball,go to red ball,go to a red ball,pick gray ball and then go to gray key,"pick up a grey ball, then pick up a blue key, then go to a grey ball",get the blue key then the green key and go to the blue ball,"pick up the blue key and go to the green key, then go to the blue ball",get green key then get green box and go back to the box you started in,go to a green box after you go to a green key and go to a green box,get purple ball then open green door to pass through and go to green door,"open the green door and go to the purple ball, then open the green door",move yellow box and go to red door,pick up a yellow box and go to a red door,open blue door and go to gray ball,open a blue door and go to a grey ball,get yellow box go to blue ball through gray door then go to yellow key,go to the yellow door and go to a yellow ball and go to a blue key,move blue key under yellow box then get red box,"put a blue key next to a yellow box and pick up a red box, then go to the yellow key",get green box,go to the green box,open red doors and get red box then go to gray ball,"open the red door, then go to a red box and go to a grey ball"
go to the green ball,go to the green ball,pick up the red ball and put it next to the yellow box,pick up the red ball and put a red ball next to the yellow box,go to a red box,go to a red box,go to the purple key,go to the purple key,pick up the green box and put it next to the green ball,pick up a green box and put the green box next to the green ball,go to a gray ball,go to a grey ball,open a green door then go to the red ball,"open the green door, then go to the red ball",go to a gray key after going to a gray ball,go to a grey ball after you go to a blue key after you go to a green ball,pick up and put down a blue key then pick up the green key and go through a door,"open a green door, then pick up the green key and go to a blue door",go to the yellow box pick it up and go to the purple key,go to the yellow box and pick up the yellow box and go to the purple key,pick up a purple ball and move it through a door then pick up a yellow ball and move it,"pick up a purple ball, then open a purple door, then pick up the yellow ball",pick up and put down a yellow box and go to a red door,pick up a yellow box and go to a red door,pick up the blue ball and move it then go to the purple ball,"pick up a blue ball, then go to the purple ball",pick up a gray box go to a red ball open two green doors then go to a green key,"go to a red ball, then open a green door, then put a grey box next to a green key",pick up the gray ball and move it pick up the blue key and move it next to a yellow box then pick up a red box,"pick up a grey ball and put a blue key next to a yellow box, then pick up the red box",open a yellow door and pick up a green box,open the yellow door and go to a green box,pick up and put down a red box then go to the gray ball,"pick up a red box after you go to a red box, then go to a grey ball"
